Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
36,128500.0,19500.0,Salaried,29.0,Married,1.0,846.0,1.0,0.166,715000.0,685000.0,755000.0,72.0,Car,Urban,Graduate,Female,Private,Yes
37,50500.0,11000.0,Salaried,52.0,Married,3.0,783.0,0.0,0.834,560000.0,4730000.0,5315000.0,240.0,Home,Semiurban,Graduate,Female,Public,No
38,29500.0,4500.0,Salaried,65.0,Single,0.0,767.0,2.0,0.646,185000.0,10000.0,1540000.0,180.0,Education,Urban,Graduate,Male,Public,No
39,29500.0,10500.0,Unemployed,45.0,Married,2.0,740.0,2.0,1.5,300000.0,1840000.0,2515000.0,48.0,Car,Urban,Graduate,Female,Private,No
40,89500.0,30500.0,Salaried,28.0,Single,4.0,805.0,1.0,0.218,530000.0,1005000.0,950000.0,72.0,Car,Semiurban,Graduate,Female,Private,Yes
41,96000.0,4500.0,Salaried,34.0,Married,1.0,597.0,4.0,0.29,985000.0,35000.0,360000.0,72.0,Personal,Semiurban,Graduate,Female,Private,No
42,82500.0,18500.0,Salaried,47.0,Married,2.0,779.0,5.0,0.385,355000.0,705000.0,520000.0,180.0,Business,Urban,Graduate,Female,Public,Yes
43,33500.0,4500.0,Salaried,65.0,Single,1.0,626.0,0.0,0.431,355000.0,295000.0,355000.0,24.0,Personal,Semiurban,Graduate,Male,Public,No
44,65500.0,26000.0,Contract,62.0,Married,2.0,653.0,3.0,0.336,460000.0,10000.0,945000.0,72.0,Personal,Urban,Graduate,Female,Private,No
45,60000.0,17500.0,Unemployed,62.0,Single,3.0,726.0,2.0,0.59,125000.0,3790000.0,3680000.0,180.0,Business,Semiurban,Graduate,Female,Private,Yes
46,65000.0,52000.0,Contract,58.0,Single,2.0,770.0,1.0,0.249,510000.0,755000.0,1070000.0,48.0,Car,Urban,Graduate,Male,Other,Yes
47,105500.0,17000.0,Contract,46.0,Single,3.0,615.0,2.0,0.274,575000.0,100000.0,820000.0,48.0,Personal,Semiurban,Graduate,Male,Other,No
48,65000.0,0.0,Salaried,50.0,Married,2.0,657.0,0.0,1.448,290000.0,18515000.0,10355000.0,300.0,Home,Semiurban,Graduate,Female,Private,No
49,91500.0,43500.0,Salaried,54.0,Married,2.0,696.0,0.0,0.242,485000.0,4690000.0,3730000.0,360.0,Home,Urban,Graduate,Male,Other,No
50,58000.0,24000.0,Self-employed,53.0,Single,1.0,678.0,5.0,0.787,85000.0,90000.0,2985000.0,120.0,Education,Semiurban,Graduate,Female,Private,No
51,68500.0,13500.0,Self-employed,49.0,Married,2.0,746.0,2.0,0.346,860000.0,3110000.0,1885000.0,300.0,Home,Rural,Graduate,Male,Private,Yes
52,88500.0,1000.0,Salaried,27.0,Single,3.0,850.0,1.0,0.395,650000.0,5650000.0,3290000.0,300.0,Home,Urban,Graduate,Female,Private,Yes
53,18500.0,500.0,Self-employed,60.0,Single,2.0,717.0,2.0,1.275,85000.0,3135000.0,2325000.0,240.0,Home,Semiurban,Graduate,Male,Government,No
54,43500.0,6000.0,Salaried,21.0,Married,0.0,642.0,5.0,1.251,450000.0,4495000.0,3820000.0,120.0,Business,Rural,Not Graduate,Female,Private,No
55,38500.0,4000.0,Salaried,40.0,Married,1.0,606.0,2.0,0.167,520000.0,170000.0,200000.0,72.0,Personal,Urban,Graduate,Male,Private,Yes
56,34000.0,1500.0,Salaried,40.0,Single,2.0,669.0,4.0,0.487,265000.0,305000.0,375000.0,60.0,Personal,Rural,Graduate,Female,Government,No
57,44500.0,17000.0,Contract,65.0,Single,3.0,629.0,4.0,0.305,300000.0,295000.0,310000.0,180.0,Business,Semiurban,Graduate,Male,Private,No
58,169000.0,37000.0,Self-employed,25.0,Married,0.0,720.0,1.0,0.141,90000.0,785000.0,855000.0,48.0,Personal,Semiurban,Not Graduate,Male,Private,No
59,28500.0,8500.0,Salaried,42.0,Single,0.0,719.0,3.0,1.286,0.0,1570000.0,2710000.0,84.0,Education,Rural,Graduate,Male,Public,No
60,113500.0,64000.0,Contract,37.0,Single,1.0,660.0,2.0,0.219,1005000.0,1390000.0,1625000.0,72.0,Car,Rural,Not Graduate,Male,Other,Yes
61,15500.0,14000.0,Contract,25.0,Married,0.0,819.0,3.0,1.5,210000.0,5000.0,1040000.0,24.0,Personal,Semiurban,Graduate,Female,Private,No
62,43000.0,12500.0,Salaried,31.0,Married,4.0,642.0,1.0,0.403,465000.0,770000.0,1955000.0,180.0,Education,Semiurban,Graduate,Male,Public,No
63,62000.0,31000.0,Self-employed,39.0,Single,1.0,682.0,0.0,0.363,55000.0,1720000.0,3500000.0,240.0,Business,Urban,Graduate,Male,Private,Yes
64,85500.0,19000.0,Salaried,62.0,Single,1.0,732.0,0.0,0.495,800000.0,5095000.0,5900000.0,360.0,Home,Urban,Not Graduate,Female,Government,Yes
65,94000.0,13500.0,Salaried,38.0,Single,0.0,748.0,2.0,0.575,455000.0,7915000.0,6235000.0,360.0,Home,Rural,Not Graduate,Male,Private,Yes
66,99500.0,27500.0,Salaried,60.0,Married,1.0,773.0,3.0,0.249,745000.0,610000.0,590000.0,120.0,Education,Urban,Not Graduate,Male,Private,Yes
67,42500.0,13000.0,Salaried,54.0,Single,4.0,718.0,3.0,0.422,90000.0,50000.0,420000.0,48.0,Personal,Rural,Graduate,Female,Public,No
68,39000.0,9000.0,Salaried,57.0,Single,1.0,758.0,2.0,0.277,230000.0,160000.0,535000.0,72.0,Personal,Urban,Not Graduate,Male,Private,Yes
69,104500.0,73000.0,Salaried,59.0,Single,0.0,647.0,0.0,0.143,1370000.0,4285000.0,2630000.0,240.0,Home,Urban,Graduate,Female,Private,No
70,47500.0,9500.0,Salaried,53.0,Married,0.0,750.0,0.0,0.054,335000.0,125000.0,285000.0,180.0,Education,Urban,Graduate,Female,Private,Yes
71,21000.0,13000.0,Self-employed,54.0,Married,4.0,749.0,3.0,0.46,5000.0,470000.0,405000.0,48.0,Car,Semiurban,Graduate,Male,Government,Yes
72,23500.0,7000.0,Self-employed,27.0,Married,4.0,788.0,2.0,0.89,200000.0,2230000.0,2240000.0,180.0,Business,Urban,Not Graduate,Male,Private,No
73,27500.0,0.0,Salaried,53.0,Married,0.0,582.0,3.0,1.252,120000.0,750000.0,1130000.0,48.0,Personal,Urban,Graduate,Female,Private,No
74,80000.0,18000.0,Salaried,23.0,Married,2.0,631.0,0.0,0.199,315000.0,1050000.0,1815000.0,180.0,Business,Rural,Graduate,Male,Private,Yes
75,61000.0,3500.0,Salaried,54.0,Single,0.0,744.0,1.0,1.5,480000.0,2335000.0,6020000.0,48.0,Personal,Rural,Graduate,Female,Public,No
76,92500.0,15500.0,Contract,50.0,Married,2.0,518.0,4.0,0.209,430000.0,530000.0,495000.0,60.0,Car,Semiurban,Graduate,Male,Government,No
77,40000.0,9500.0,Contract,55.0,Single,0.0,722.0,0.0,0.402,70000.0,860000.0,1200000.0,84.0,Car,Urban,Graduate,Male,Private,Yes
78,62000.0,11500.0,Salaried,49.0,Married,3.0,759.0,0.0,0.552,755000.0,330000.0,1600000.0,48.0,Personal,Urban,Not Graduate,Female,Private,Yes
79,88000.0,43000.0,Self-employed,37.0,Single,3.0,653.0,2.0,0.408,555000.0,555000.0,1305000.0,36.0,Personal,Semiurban,Graduate,Male,Private,No
80,43500.0,18500.0,Self-employed,37.0,Married,0.0,662.0,2.0,1.112,260000.0,9010000.0,6110000.0,180.0,Home,Urban,Graduate,Male,Private,No
81,77500.0,15000.0,Unemployed,47.0,Single,1.0,620.0,5.0,0.688,610000.0,735000.0,1310000.0,60.0,Personal,Semiurban,Graduate,Male,Private,No
82,33500.0,500.0,Salaried,42.0,Married,0.0,656.0,4.0,0.89,115000.0,1060000.0,935000.0,60.0,Car,Rural,Graduate,Female,Public,No
83,42000.0,13000.0,Salaried,36.0,Single,1.0,658.0,3.0,1.5,495000.0,21965000.0,14385000.0,300.0,Home,Urban,Graduate,Male,Private,No
84,41500.0,500.0,Self-employed,43.0,Married,0.0,646.0,0.0,1.5,0.0,1490000.0,2070000.0,36.0,Car,Rural,Graduate,Male,Public,No
85,22500.0,8000.0,Salaried,45.0,Married,0.0,642.0,2.0,0.832,40000.0,2885000.0,1695000.0,120.0,Home,Urban,Graduate,Male,Government,No
86,79000.0,13000.0,Salaried,31.0,Single,4.0,672.0,4.0,0.747,540000.0,7470000.0,4600000.0,360.0,Home,Urban,Graduate,Female,Private,No
87,38500.0,14000.0,Salaried,49.0,Married,0.0,672.0,2.0,0.253,405000.0,285000.0,330000.0,60.0,Car,Urban,Not Graduate,Male,Private,Yes
88,55500.0,17000.0,Salaried,35.0,Single,3.0,812.0,5.0,1.5,295000.0,16390000.0,12760000.0,180.0,Home,Rural,Graduate,Male,Private,No
89,79000.0,18000.0,Self-employed,33.0,Married,0.0,664.0,2.0,0.611,965000.0,1645000.0,2225000.0,60.0,Business,Semiurban,Graduate,Male,Government,No
90,77000.0,18000.0,Self-employed,39.0,Married,1.0,712.0,0.0,1.133,765000.0,9060000.0,6485000.0,84.0,Business,Semiurban,Not Graduate,Male,Government,No
91,90500.0,6500.0,Salaried,25.0,Single,1.0,653.0,2.0,0.243,610000.0,190000.0,455000.0,72.0,Personal,Urban,Graduate,Male,Government,No
92,51000.0,0.0,Contract,48.0,Married,3.0,652.0,3.0,0.279,250000.0,40000.0,95000.0,60.0,Personal,Rural,Not Graduate,Female,Private,No
93,40000.0,21500.0,Salaried,54.0,Single,0.0,579.0,0.0,1.5,280000.0,25000000.0,15000000.0,300.0,Home,Semiurban,Not Graduate,Female,Government,No
94,52000.0,18000.0,Unemployed,64.0,Married,0.0,588.0,1.0,0.275,525000.0,735000.0,1110000.0,120.0,Education,Semiurban,Not Graduate,Male,Public,Yes
95,15500.0,8000.0,Salaried,33.0,Single,2.0,612.0,3.0,0.672,0.0,1400000.0,1495000.0,360.0,Home,Semiurban,Graduate,Male,Public,No
96,18500.0,5500.0,Contract,45.0,Single,2.0,702.0,0.0,1.5,85000.0,5820000.0,5345000.0,84.0,Business,Rural,Not Graduate,Male,Private,No
97,20500.0,0.0,Contract,43.0,Married,2.0,760.0,1.0,1.5,30000.0,15860000.0,12450000.0,84.0,Business,Semiurban,Graduate,Male,Private,No
98,26000.0,0.0,Contract,53.0,Married,0.0,574.0,3.0,1.227,335000.0,3350000.0,2945000.0,300.0,Home,Urban,Graduate,Male,Private,No
99,74000.0,7000.0,Contract,49.0,Married,0.0,654.0,3.0,0.287,235000.0,860000.0,845000.0,84.0,Car,Rural,Not Graduate,Male,Public,No
100,28000.0,3000.0,Salaried,57.0,Single,3.0,601.0,2.0,0.567,90000.0,430000.0,620000.0,60.0,Personal,Urban,Graduate,Female,Private,Yes
101,41500.0,16500.0,Self-employed,59.0,Married,2.0,673.0,5.0,0.25,0.0,105000.0,185000.0,48.0,Personal,Rural,Not Graduate,Male,Government,No
102,145500.0,20000.0,Self-employed,26.0,Single,2.0,760.0,4.0,0.274,225000.0,3500000.0,1945000.0,360.0,Home,Urban,Graduate,Male,Other,Yes
103,42000.0,19000.0,Salaried,36.0,Married,1.0,661.0,2.0,1.245,290000.0,2875000.0,2865000.0,48.0,Car,Urban,Graduate,Female,Private,No
104,95500.0,9500.0,Unemployed,50.0,Single,0.0,687.0,0.0,0.288,880000.0,4520000.0,3130000.0,240.0,Home,Urban,Graduate,Male,Private,Yes
105,27500.0,11500.0,Salaried,45.0,Single,4.0,785.0,3.0,0.355,195000.0,1030000.0,810000.0,120.0,Business,Semiurban,Not Graduate,Male,Public,Yes
106,47000.0,8000.0,Salaried,42.0,Married,2.0,720.0,1.0,0.147,280000.0,50000.0,335000.0,84.0,Personal,Urban,Graduate,Male,Other,Yes
107,27000.0,6000.0,Contract,28.0,Married,0.0,641.0,3.0,1.5,165000.0,1315000.0,1810000.0,48.0,Car,Rural,Not Graduate,Female,Private,No
108,42500.0,11000.0,Salaried,46.0,Married,3.0,700.0,2.0,0.166,15000.0,405000.0,275000.0,120.0,Business,Semiurban,Graduate,Male,Private,Yes
109,103500.0,8000.0,Salaried,54.0,Married,2.0,636.0,1.0,0.262,1120000.0,1210000.0,1060000.0,72.0,Car,Urban,Not Graduate,Male,Private,No
110,15000.0,0.0,Salaried,22.0,Married,1.0,717.0,2.0,1.5,45000.0,1985000.0,4585000.0,60.0,Personal,Semiurban,Graduate,Male,Private,No
111,76000.0,13000.0,Self-employed,47.0,Single,1.0,723.0,2.0,0.815,895000.0,60000.0,3110000.0,60.0,Personal,Rural,Not Graduate,Male,Private,No
112,65500.0,13500.0,Contract,61.0,Married,2.0,601.0,4.0,0.619,870000.0,155000.0,840000.0,36.0,Personal,Rural,Graduate,Male,Private,No
113,35000.0,13000.0,Salaried,46.0,Married,1.0,701.0,1.0,1.139,410000.0,20000.0,1635000.0,36.0,Personal,Urban,Graduate,Male,Private,No
114,18500.0,4500.0,Self-employed,63.0,Married,2.0,682.0,4.0,1.5,0.0,5210000.0,6230000.0,120.0,Business,Rural,Not Graduate,Female,Private,No
115,58000.0,16500.0,Self-employed,36.0,Married,2.0,725.0,0.0,0.407,335000.0,4260000.0,3145000.0,240.0,Home,Urban,Graduate,Female,Other,Yes
116,37000.0,7000.0,Self-employed,21.0,Single,0.0,744.0,3.0,0.705,560000.0,205000.0,1150000.0,72.0,Personal,Semiurban,Graduate,Male,Public,Yes
117,65500.0,15500.0,Self-employed,51.0,Married,4.0,721.0,4.0,0.891,465000.0,2940000.0,4180000.0,120.0,Education,Rural,Not Graduate,Male,Government,No
118,56000.0,4000.0,Unemployed,30.0,Married,1.0,670.0,1.0,0.132,265000.0,170000.0,160000.0,72.0,Personal,Semiurban,Not Graduate,Male,Private,No
119,183000.0,30500.0,Salaried,21.0,Married,1.0,751.0,0.0,0.242,965000.0,4640000.0,3115000.0,84.0,Business,Urban,Not Graduate,Male,Private,Yes
120,46000.0,3500.0,Salaried,29.0,Single,2.0,633.0,3.0,1.135,45000.0,7775000.0,4760000.0,240.0,Home,Semiurban,Not Graduate,Female,Private,No
121,25500.0,0.0,Self-employed,63.0,Single,2.0,604.0,3.0,1.428,225000.0,4750000.0,3820000.0,360.0,Home,Urban,Not Graduate,Male,Government,No
122,63000.0,14000.0,Salaried,56.0,Married,1.0,482.0,1.0,0.37,35000.0,935000.0,910000.0,48.0,Car,Urban,Graduate,Female,Private,No
123,65000.0,3500.0,Salaried,33.0,Single,2.0,685.0,2.0,0.378,455000.0,340000.0,615000.0,36.0,Personal,Urban,Graduate,Male,Private,Yes
124,152500.0,75000.0,Salaried,47.0,Single,3.0,637.0,3.0,0.262,705000.0,1390000.0,2430000.0,120.0,Business,Semiurban,Not Graduate,Female,Government,No
125,103000.0,27500.0,Salaried,36.0,Single,3.0,716.0,1.0,0.399,370000.0,1290000.0,1370000.0,36.0,Personal,Urban,Graduate,Female,Private,Yes
126,72000.0,31000.0,Contract,28.0,Married,3.0,562.0,2.0,0.636,95000.0,7750000.0,5250000.0,180.0,Home,Semiurban,Graduate,Female,Other,No
127,165000.0,74000.0,Salaried,65.0,Single,0.0,648.0,2.0,0.238,1880000.0,4330000.0,3010000.0,240.0,Home,Rural,Graduate,Female,Private,No
128,22500.0,14000.0,Self-employed,57.0,Single,1.0,721.0,0.0,0.119,195000.0,55000.0,235000.0,72.0,Personal,Semiurban,Graduate,Female,Government,Yes
129,34000.0,0.0,Self-employed,37.0,Married,1.0,623.0,3.0,0.744,150000.0,525000.0,660000.0,36.0,Car,Semiurban,Not Graduate,Male,Private,No
130,27500.0,0.0,Salaried,36.0,Married,0.0,717.0,1.0,1.5,285000.0,7310000.0,4370000.0,300.0,Home,Semiurban,Graduate,Male,Other,No
131,41000.0,4500.0,Salaried,57.0,Married,2.0,654.0,4.0,0.339,420000.0,50000.0,265000.0,60.0,Personal,Urban,Not Graduate,Male,Government,No
132,19500.0,8500.0,Salaried,41.0,Married,1.0,688.0,2.0,1.5,75000.0,2125000.0,4420000.0,120.0,Business,Semiurban,Not Graduate,Female,Private,No
133,88500.0,3500.0,Salaried,37.0,Married,1.0,729.0,2.0,0.29,770000.0,505000.0,735000.0,48.0,Personal,Urban,Graduate,Male,Private,Yes
134,46500.0,4000.0,Salaried,38.0,Single,0.0,752.0,2.0,1.321,200000.0,2125000.0,1895000.0,36.0,Car,Urban,Graduate,Female,Private,No
135,18500.0,11000.0,Self-employed,41.0,Single,1.0,696.0,1.0,0.966,210000.0,1870000.0,2035000.0,120.0,Home,Urban,Graduate,Male,Government,Yes
136,25500.0,0.0,Salaried,44.0,Married,1.0,637.0,3.0,0.551,70000.0,115000.0,515000.0,120.0,Education,Semiurban,Graduate,Female,Other,No
137,69500.0,35000.0,Salaried,22.0,Married,2.0,660.0,3.0,0.963,855000.0,14610000.0,9195000.0,360.0,Home,Urban,Graduate,Male,Private,No
138,103000.0,12000.0,Salaried,42.0,Single,2.0,731.0,3.0,0.393,495000.0,1235000.0,980000.0,60.0,Car,Urban,Graduate,Female,Government,Yes
139,246000.0,131000.0,Salaried,40.0,Married,0.0,624.0,2.0,0.117,730000.0,3760000.0,2945000.0,300.0,Home,Rural,Not Graduate,Male,Government,Yes
140,489000.0,55500.0,Salaried,33.0,Married,0.0,678.0,1.0,0.157,3860000.0,10095000.0,6340000.0,360.0,Home,Urban,Graduate,Male,Private,Yes
141,75000.0,9000.0,Unemployed,36.0,Single,3.0,665.0,0.0,0.641,125000.0,6875000.0,6140000.0,360.0,Home,Semiurban,Graduate,Female,Government,Yes
142,26000.0,27000.0,Salaried,40.0,Married,0.0,683.0,3.0,0.316,250000.0,1810000.0,1205000.0,360.0,Home,Semiurban,Graduate,Male,Public,No
143,15000.0,8500.0,Salaried,37.0,Married,1.0,624.0,1.0,1.5,140000.0,6790000.0,6705000.0,120.0,Business,Semiurban,Not Graduate,Male,Public,No
144,67000.0,5000.0,Self-employed,61.0,Single,1.0,570.0,2.0,0.484,565000.0,4060000.0,2470000.0,360.0,Home,Urban,Graduate,Female,Government,No
145,30000.0,10500.0,Self-employed,44.0,Single,2.0,724.0,2.0,1.5,90000.0,11345000.0,9050000.0,120.0,Business,Urban,Graduate,Female,Public,No
146,40500.0,0.0,Self-employed,43.0,Married,3.0,753.0,2.0,0.146,205000.0,45000.0,150000.0,60.0,Personal,Rural,Not Graduate,Male,Other,Yes
147,35000.0,9000.0,Salaried,32.0,Single,2.0,574.0,3.0,1.127,245000.0,4355000.0,4585000.0,360.0,Home,Semiurban,Graduate,Male,Government,No
148,49500.0,11500.0,Self-employed,62.0,Single,4.0,714.0,2.0,0.248,95000.0,380000.0,425000.0,48.0,Personal,Urban,Graduate,Male,Private,Yes
149,122500.0,14500.0,Salaried,22.0,Married,3.0,760.0,5.0,0.184,750000.0,545000.0,655000.0,360.0,Home,Urban,Graduate,Male,Other,Yes
150,62000.0,7000.0,Self-employed,45.0,Single,0.0,729.0,0.0,0.264,550000.0,1265000.0,1695000.0,180.0,Education,Semiurban,Not Graduate,Male,Public,Yes
151,49000.0,1000.0,Salaried,28.0,Married,0.0,663.0,2.0,0.315,0.0,870000.0,680000.0,300.0,Home,Urban,Not Graduate,Male,Private,No
152,25500.0,4500.0,Self-employed,55.0,Married,1.0,629.0,0.0,0.755,35000.0,660000.0,1365000.0,84.0,Business,Semiurban,Graduate,Male,Public,No
153,15500.0,3500.0,Self-employed,38.0,Married,1.0,695.0,3.0,1.5,0.0,13325000.0,8950000.0,360.0,Home,Semiurban,Not Graduate,Male,Private,No
154,38000.0,17500.0,Self-employed,34.0,Married,1.0,706.0,2.0,0.452,165000.0,2860000.0,2230000.0,240.0,Home,Semiurban,Not Graduate,Female,Private,No
155,53000.0,3500.0,Salaried,23.0,Married,0.0,696.0,2.0,0.391,20000.0,2700000.0,1625000.0,300.0,Home,Rural,Not Graduate,Male,Private,Yes
156,207000.0,34500.0,Self-employed,56.0,Single,0.0,678.0,3.0,0.338,1130000.0,1250000.0,1515000.0,36.0,Car,Semiurban,Not Graduate,Male,Private,No
157,60500.0,14000.0,Self-employed,38.0,Married,1.0,620.0,2.0,0.215,535000.0,0.0,400000.0,72.0,Personal,Rural,Not Graduate,Female,Private,No
158,115000.0,20000.0,Salaried,32.0,Single,2.0,717.0,1.0,0.142,655000.0,665000.0,1225000.0,240.0,Business,Semiurban,Graduate,Female,Private,No
159,38000.0,9000.0,Salaried,58.0,Married,2.0,721.0,2.0,1.5,40000.0,465000.0,1575000.0,24.0,Personal,Semiurban,Graduate,Male,Private,No
160,22500.0,7500.0,Salaried,21.0,Single,4.0,703.0,0.0,0.38,190000.0,1890000.0,1300000.0,360.0,Home,Semiurban,Not Graduate,Female,Public,No
161,26500.0,10000.0,Salaried,42.0,Married,0.0,697.0,4.0,0.429,455000.0,275000.0,690000.0,180.0,Education,Semiurban,Graduate,Male,Private,No
162,32000.0,4500.0,Self-employed,28.0,Married,1.0,799.0,3.0,1.5,180000.0,1220000.0,1580000.0,36.0,Car,Urban,Graduate,Male,Private,No
163,271500.0,17500.0,Salaried,26.0,Single,4.0,649.0,3.0,0.166,1150000.0,405000.0,375000.0,84.0,Education,Rural,Not Graduate,Male,Private,Yes
164,29500.0,6000.0,Self-employed,21.0,Single,2.0,773.0,4.0,1.5,35000.0,295000.0,2470000.0,48.0,Personal,Rural,Not Graduate,Male,Government,No
165,103000.0,27000.0,Self-employed,29.0,Married,2.0,642.0,3.0,0.266,345000.0,710000.0,780000.0,72.0,Car,Urban,Not Graduate,Female,Government,No
